FID,NAME,Obesity,SHAPE_Length,SHAPE_Area
1,Texas,32.4,45.04744554,65.77862362
2,California,24.2,40.75592743,41.73016392
3,Kentucky,34.6,20.34834518,10.6656364
4,Georgia,30.7,17.28844819,14.68255449
5,Wisconsin,30.7,22.42884485,16.51293696
6,Oregon,30.1,24.56504113,28.18301594
7,Virginia,29.2,24.33809248,10.7765334
8,Tennessee,33.8,20.70756216,10.89214249
9,Louisiana,36.2,22.17698479,11.85640781
10,New York,25,26.25662074,14.07365737
11,Michigan,31.2,41.99336157,17.35990902
12,Idaho,28.6,27.39954179,24.48462506
13,Florida,26.8,30.87104353,14.22764061
14,Alaska,29.8,21.73045959,6.036825506
15,Montana,23.6,33.46177056,45.05309483
16,Minnesota,26.1,28.88740971,25.56509654
17,Nebraska,31.4,23.07811613,21.61719706
18,Washington,26.4,24.49575796,21.30487095
19,Ohio,29.8,15.57850428,11.33212613
20,Illinois,30.8,19.08599807,15.41323139
21,Missouri,32.4,22.71598315,18.60397445
22,Iowa,32.1,18.62734477,15.84895548
23,South Dakota,30.4,22.6809078,22.57798621
24,Arkansas,34.5,17.65503909,13.59141063
25,Mississippi,35.6,17.34949944,11.86693653
26,Colorado,20.2,22.01732671,28.03652564
27,North Carolina,30.1,21.26877351,13.56751018
28,Utah,24.5,19.99747594,22.97738213
29,Oklahoma,33.9,24.40031023,17.996645
30,Wyoming,29,21.98167091,27.97361184
31,West Virginia,35.6,16.50488551,6.513447762
32,Indiana,31.3,14.78897119,9.880178806
33,Massachusetts,24.3,13.626181,2.392570295
34,Nevada,26.7,23.51639617,29.93727521
35,Connecticut,25.3,5.712400905,1.400263042
36,District of Columbia,22.1,0.612367564,0.018580369
37,Rhode Island,26,3.019910779,0.346346682
38,Alabama,35.6,16.90442601,12.89737089
39,Puerto Rico,29.5,5.684396422,0.796072722
40,South Carolina,31.7,13.35794805,7.860536559
41,Maine,30,17.10572227,10.00277122
42,Hawaii,22.7,0,0
43,Arizona,28.4,23.0224906,28.92130005
44,New Mexico,28.8,23.55227815,30.89281209
45,Maryland,28.9,18.28514348,2.865092152
46,Delaware,29.7,4.078032402,0.553716055
47,Pennsylvania,30,16.56328589,12.53744541
48,Kansas,34.2,21.03565861,22.01362737
49,Vermont,25.1,8.281964807,2.801608492
50,New Jersey,25.6,7.940009509,2.134603129
51,North Dakota,31,20.63348968,21.84200143
52,New Hampshire,26.3,8.062251274,2.683523909
