id,State,tt_pop,Median age (years)
0400000US02,Alaska,737438,34.9
0400000US23,Maine,1338404,45.1
0400000US37,North Carolina,10383620,38.9
0400000US29,Missouri,6126452,38.8
0400000US42,Pennsylvania,12807060,40.8
0400000US26,Michigan,9995915,39.8
0400000US31,Nebraska,1929268,36.7
0400000US41,Oregon,4190713,39.6
0400000US56,Wyoming,577737,38.5
0400000US06,California,39557045,36.7
0400000US28,Mississippi,2986530,37.7
0400000US09,Connecticut,3572665,41.1
0400000US48,Texas,28701845,34.9
0400000US16,Idaho,1754208,36.8
0400000US24,Maryland,6042718,38.8
0400000US35,New Mexico,2095428,38.1
0400000US01,Alabama,4887871,39.3
0400000US47,Tennessee,6770010,38.9
0400000US50,Vermont,626299,43.1
0400000US32,Nevada,3034392,38.2
0400000US54,West Virginia,1805832,42.8
0400000US40,Oklahoma,3943079,36.7
0400000US55,Wisconsin,5813568,39.6
0400000US72,Puerto Rico,3195153,42.9
0400000US20,Kansas,2911510,37.1
0400000US51,Virginia,8517685,38.3
0400000US38,North Dakota,760077,35.4
0400000US34,New Jersey,8908520,40
0400000US39,Ohio,11689442,39.5
0400000US45,South Carolina,5084127,39.7
0400000US13,Georgia,10519475,36.8
0400000US08,Colorado,5695564,36.9
0400000US15,Hawaii,1420491,39.3
0400000US46,South Dakota,882235,37.2
0400000US18,Indiana,6691878,37.8
0400000US21,Kentucky,4468402,39.1
0400000US22,Louisiana,4659978,37.3
0400000US53,Washington,7535591,37.7
0400000US17,Illinois,12741080,38.3
0400000US19,Iowa,3156145,38.1
0400000US33,New Hampshire,1356458,43.1
0400000US44,Rhode Island,1057315,40
0400000US05,Arkansas,3013825,38.1
0400000US10,Delaware,967171,41.1
0400000US27,Minnesota,5611179,38.2
0400000US30,Montana,1062305,40.1
0400000US04,Arizona,7171646,38
0400000US12,Florida,21299325,42.2
0400000US25,Massachusetts,6902149,39.5
0400000US11,District of Columbia,702455,33.9
0400000US49,Utah,3161105,31
0400000US36,New York,19542209,39
