Year	Location	Breakout	Value	Low Confidence Limit	High Confidence Limit
2018	Alabama	Overall	20	18.6	21.5
2018	Alaska	Overall	18.7	16.7	20.9
2018	Arizona	Overall	14.5	13.2	15.9
2018	Arkansas	Overall	23.8	21.9	25.8
2018	California	Overall	11.4	10.7	12.3
2018	Colorado	Overall	14.7	13.7	15.7
2018	Connecticut	Overall	12.7	11.7	13.8
2018	Delaware	Overall	17.4	15.9	19
2018	District of Columbia	Overall	13.7	12.4	15.1
2018	Florida	Overall	15.1	13.9	16.4
2018	Georgia	Overall	16.5	15.5	17.6
2018	Guam	Overall	21.9	18.9	25.1
2018	Hawaii	Overall	14.2	13	15.4
2018	Idaho	Overall	15.2	13.5	17.1
2018	Illinois	Overall	15.9	14.6	17.3
2018	Indiana	Overall	21.7	20.3	23.1
2018	Iowa	Overall	17.4	16.5	18.4
2018	Kansas	Overall	18	16.9	19
2018	Kentucky	Overall	24.4	22.7	26.2
2018	Louisiana	Overall	21.1	19.5	22.7
2018	Maine	Overall	19.3	17.9	20.9
2018	Maryland	Overall	12.7	11.9	13.6
2018	Massachusetts	Overall	13.8	12.6	15.1
2018	Michigan	Overall	20.2	19.1	21.3
2018	Minnesota	Overall	15.7	14.9	16.4
2018	Mississippi	Overall	21	19.6	22.6
2018	Missouri	Overall	20.2	18.6	21.9
2018	Montana	Overall	19	17.5	20.7
2018	Nebraska	Overall	16.6	15.6	17.6
2018	Nevada	Overall	15.9	14.1	17.9
2018	New Hampshire	Overall	16.4	14.8	18.2
2018	New Jersey	Overall	13.4	11.4	15.8
2018	New Mexico	Overall	15.6	14.4	17
2018	New York	Overall	13	12.4	13.7
2018	North Carolina	Overall	17.9	16.4	19.4
2018	North Dakota	Overall	19.9	18.3	21.6
2018	Ohio	Overall	21.4	20.2	22.7
2018	Oklahoma	Overall	20	18.5	21.5
2018	Oregon	Overall	16	14.8	17.3
2018	Pennsylvania	Overall	17.8	16.5	19.2
2018	Puerto Rico	Overall	10.3	9.1	11.7
2018	Rhode Island	Overall	15.1	13.6	16.8
2018	South Carolina	Overall	18.7	17.5	19.9
2018	South Dakota	Overall	20.1	18.1	22.2
2018	Tennessee	Overall	21	19.4	22.7
2018	Texas	Overall	14.3	12.9	15.7
2018	United States	Overall	16.6	15.6	18.7
2018	Utah	Overall	9.1	8.4	9.8
2018	Vermont	Overall	14.6	13.2	16.1
2018	Virginia	Overall	15.2	14.2	16.2
2018	Virgin Islands	Overall	N/A	N/A	N/A
2018	Washington	Overall	12.3	11.4	13.1
2018	West Virginia	Overall	26.9	25.1	28.7
2018	Wisconsin	Overall	17.1	15.6	18.7
2018	Wyoming	Overall	19.3	17.7	21
